source,target,source example,target example,source language,target language,source segment,url,comment
"calpestare","step on","Non c'è un modo democratico di calpestare le persone.","There's no diplomatic way to step on people.","it","en","","","trample, trample on"
"cambiamento","change","Nei primi minuti, per sostenere il cambiamento.","It's crucial in the first few minutes to sustain the change.","it","en","","","changing, shift"
"cambiare strada","change course","E che bisognava, nella carità, indurli a cambiare strada.","And that it was necessary, in charity, to get them to change course.","it","en","","","change direction, change tack"
"camminare","head","Adesso devi camminare su quell'asse.","I need you to head out on that plank.","it","en","","",""
"campanello","bell","Dovrei metterti un campanello, ragazzina.","I ought to put a bell on you, kid.","it","en","","","doorbell, buzzer"
"campionato","championship","Pensiamo che partecipare al campionato nazionale sarà importante.","We're thinking a national championship run would be beneficial.","it","en","il campionato","https://classroom.italki.com/r/3645320968","league, season"
"camuffato","disguised","La sua residenza è essenzialmente un palazzo camuffato esternamente da magazzino.","This residence is essentially a palace disguised on the outside as a warehouse.","it","en","","",""
"cancelleria","stationery","Erano in bianco, mischiate con altra cancelleria.","Now, they were blank, just thrown in with some other stationery.","it","en","","","chancellery, chancery"
"cancello","gate's","Il cancello dovrebbe essere chiuso di notte.","The gate's supposed to be locked at night.","it","en","","","fence, gated"
"candidarsi","apply","","","it","en","","https://classroom.italki.com/r/8111385678","run for, stand"
"capace","capable","Li dividerò col mio capace ed eccellente staff.","I am going to share these with my capable and excellent staff.","it","en","","","able, that can"
"capacità","capacity","Potresti sovrastimare la capacità della gente di perdonare.","You might be overestimating the public's capacity for forgiveness.","it","en","","","ability, capability"
"capitare","happen","Fuori gli possono capitare troppe cose brutte.","On the outside too many bad things can happen to him.","it","en","","","occur, come"
"capitare di conoscere","happen to know","capitare di conoscere","happen to know","it","en","","",""
"capitare di conoscere","happen to know","","","it","en","","",""
"carattere","character","Intendo cancellare le pecche del mio carattere.","I mean to undo the flaws in my character.","it","en","","",""
"carica di energia","full of energy","Il degno epilogo di una settimana carica di energia, novità e belle sensazioni.","The worthy culmination of a week full of energy, innovation and good feelings.","it","en","","","burst of energy, charge of energy"
"carico","load","È vietato parcheggiare qui con questo carico.","It's forbidden to park here with this load.","it","en","","","loading, cargo"
"carrello","cart","Metto solo cose nel carrello senza comprarle.","I just add things to my cart without buying them.","it","en","","","trolley, shopping cart"
"carrozzeria","body","Prendete ad esempio l'elegante e aerodinamica carrozzeria.","Take, for example, the sleek, aerodynamic body.","it","en","","",""
"cartella","folder","Disegni verranno salvati nella seconda cartella.","Charcoal paintings will be saved in the ""result-files"" folder.","it","en","","","directory, file"
"cascata","waterfall","Perché è mescolato da una cascata.","That's because it's mixed by waterfall.","it","en","","",""
"caso","case","Sto rivivendo il caso nella mia testa.","You all right? - I'm going over the case in my head.","it","en","","","event, chance"
"cattività","captivity","Nessuna balena megattera nata in cattività è mai sopravvissuta.","Let's just say that no humpback born in captivity has ever survived.","it","en","","","prisoners, exile"
"celare","conceal","Ulteriori dichiarazioni, dettagliate discussioni non devono celare responsabilità perché io sono l'ufficiale responsabile.","Further statements, detailed discussions, are not to conceal responsibility, because I'm the responsible officer of the government...","it","en","","",""
"celato","hidden","Qualcosa si muove nell'ombra non visto celato alla nostra vista.","Something moves in the shadows unseen hidden from our sight.","it","en","","",""
"cenere","ash","Sembra della cenere questa sul paralume.","This looks like ash on the lampshade here.","it","en","","","cinder, dust"
"cercato","tried","Quel lunatico ha cercato di uccidermi.","Well, that lunatic tried to kill me.","it","en","","",""
"certezza","certainty","Sento di aver raggiunto una certezza.","I feel like for the first time I've arrived at certainty.","it","en","","","assurance, confidence"
"cervicali","cervical","Piscina riscaldata con cascata per massaggi cervicali.","Heated swimming pool with water fall for cervical massage.","it","en","","https://classroom.italki.com/r/8111385678","neck, ..."
"cespuglio","bush","Non doveva svoltare dopo il cespuglio.","You shouldn't have taken a turn at the bush.","it","en","","",""
"cessare","cease","Ma Asael non volle cessare dall'inseguirlo.","But Asahel was not willing to cease from pursuing him closely.","it","en","","","stop, end"
"cestino","basket","Hai un cinquantino con il cestino davanti.","You have a two-cylinder scooter with a basket in the front.","it","en","","","trash, bin"
"chapeau","chapeau","Eppure ha ancora il suo chapeau.","Yet he still retains his chapeau.","it","en","","https://classroom.italki.com/r/8114385678","hats off, ..."
"che palle","it sucks","Sono forti, e anche al lavoro devo trattare con uno di loro, che palle!","They're a very strong people, and I have to deal with one right now at work and it sucks.","it","en","","https://classroom.italki.com/r/8111385678","bummer, that sucks"
"chiarezza","clarity","Dobbiamo confidare che il tempo porti chiarezza.","We have to trust that with time comes clarity.","it","en","","","clearness, clarification"
"chiaro","clear","Era così chiaro quando sono ritornata.","It was so clear when I first got back.","it","en","","","light, unclear"
"chioma","hair","Regala alla chioma volume, elasticità e forma.","It gives volume, elasticity and shape to the hair.","it","en","","",""
"ci siamo allontanati","we have moved away","Ma ci siamo allontanati dall'argomento principale.","But we have moved away from the main topic.","it","en","","","we grew apart, we have distanced ourselves"
"ci siamo conosciuti","we met","Come quando ci siamo conosciuti noi.","What? - It's like you and me when we met.","it","en","","","we first met, we've met"
"ciascuno","each","Ti offro dieci ciascuno, consecutivi.","I'll give you ten on each, consecutive.","it","en","","","each one, every one"
"cicciottella","chubby","Oscillo tra l'essere cicciottella e formosa.","I fluctuate between chubby and curvy.","it","en","cicciottella/paffut","https://classroom.italki.com/r/9129335678","plump, chunky"
"cieco","blind","La soluzione potrebbe essere diventare cieco.","The solution for that may be to go blind.","it","en","","","blinded, dead-end"
"cima","top","Fortunatamente, raggiunsi la cima del ponte.","Mercifully, I reach the top of the bridge.","it","en","","",""
"ciononostante","nevertheless","E ciononostante, noi lo prenderemo.","Well, nevertheless, we will get him.","it","en","","","however, nonetheless"
"circa","about","La famiglia comprende circa 1450 specie ripartite in circa 80 generi.","The family contains about 1500 species divided into about 80 genera.","it","en","","","around, approximately"
"circolo","circle","Il circolo non è sempre distruttivo.","The circle doesn't have to be destructive.","it","en","","","club, cycle"
"circondare","surround","Ma fare circondare il casale sarebbe imperdonabile.","But to surround the farm, no, it would be unforgivable.","it","en","","","encircle, circle"
"circondato","surrounded","Gettate l'arma, siete circondato.","Put down your weapon, you're surrounded.","it","en","","","encircled, framed"
"circostanza","circumstance","Volevo chiederti se ritieni necessario... informare gli inquirenti della circostanza.","I wanted ask you if you think it necessary... to inform the enquirers of this circumstance.","it","en","","","condition, occasion"
"clausura","cloister","In clausura dormivano mio padre e mio nonno.","My father and grandfather slept in the cloister.","it","en","","","enclosure, seclusion"
"coccolare","pamper","Le persone amano coccolare i propri piedi, e fanno bene.","People love to pamper their feet, and rightfully so.","it","en","","","cuddle, spoil"
"cogli l'occasione","take the opportunity","Componi un messaggio di ringraziamento o cogli l'occasione del contatto per una promozione o un'attività di fidelizzazione.","Compose a thank you message or take the opportunity of contact for a promotion or a task loyalty.","it","en","cogli l'occasione","https://classroom.italki.com/r/8111385678","take a chance, get the chance"
"cogliere","take","Dovete cogliere l'occasione di agire.","You have to take a chance and get involved.","it","en","","","seize, grasp"
"coinvolgere","involve","Ecco perché volevo coinvolgere i ladri.","That is why I wanted to involve the thieves.","it","en","per ora coinvolge 24 attività ma presto se ne aggiungeranno di nuove","https://www.bookingblog.com/copenaghen-e-lapproccio-soft-allovertourism-premi-ai-turisti-virtuosi/","engage, include"
